Solute,T/ K,Measured,Method,Ref.,,,,,
Pentane,293.15,945,GC,47,,,,,
Pentane,303.15,796,GC,47,,,,,
Pentane,313.15,517,GC,47,,,,,
Hexane,293.15,2940,GC,47,,,,,
Hexane,298.15,40000,--,10,,,,,
Hexane,303.15,2225,GC,47,,,,,
Hexane,313.15,1465,GC,47,,,,,
Hexane,333.15,18500,--,10,,,,,
Hexane,373.15,9500,--,10,,,,,
Heptane,293.15,8050,GC,47,,,,,
Heptane,303.15,6160,GC,47,,,,,
Heptane,313.15,3925,GC,47,,,,,
Cyclohexane,313.15,1 0 2 6 . 5 + 3 0,GS,14,,,,,
Cyclohexene,296.15,20400,GS,44,,,,,
Benzene,293.15,2500,GCR,63,,,,,
Benzene,293.15,2505,GCR,8,,,,,
Benzene,293.15,2510,GCR,27,,,,,
Benzene,296.15,2350,GS,44,,,,,
Benzene,296.15,2360--.52,GS,14,,,,,
Benzene,298.15,2495,GS,38,,,,,
Benzene,298.15,2289,GCR,42,,,,,
Benzene,298.15,2400,- -,10,,,,,
Benzene,298.15,2320,HS,9,,,,,
Benzene,298.15,2200,GS,12,,,,,
Benzene,298.15,1700,GS,12,,,,,
Benzene,298.15,2475,EXT,67,,,,,
Benzene,298.15,2420,KGW,2,,,,,
Benzene,298.15,2530,KHW,37,,,,,
Benzene,303.15,2402 ¢,HS,23,,,,,
Benzene,303.15,2422,EXT,67,,,,,
Benzene,303.15,2570,GCR,8,,,,,
Benzene,313.15,2535,GCR,8,,,,,
Benzene,313.15,1635-+49,GS,14,,,,,
Benzene,323.15,2465,GCR,8,,,,,
Benzene,333.15,1800,--,10,,,,,
Benzene,.373.15,1080,--,10,,,,,
Toluene,293.15,4500,GCR,63,,,,,
Toluene,"296,15",10400,GS,44,,,,,
Toluene,298.15,9186,GS,38,,,,,
Toluene,298.15,9490,KGW,2,,,,,
Toluene,298.15,9170,KHW,37,,,,,
Toluene,313.15,3249+-38,GS,14,,,,,
Ethylbenzene,298.15,32670,GS,38,,,,,
Ethylbenzene,298.15,3.55 × 104,KGW,2,,,,,
Ethylbenzene,298.15,3.34 x 104,KI-IW,37,,,,,
Propylbenzene,298.15,135800,GS,38,,,,,
Propylbenzene,298.15,1.27 × 105,KGW,2,,,,,
Propylbenzene,298.15,1.33 × 105,KHW,37,,,,,
Butylbenzene,298.15,566260,GS,38,,,,,
Butylbenzene,298.15,5.02 s 105,KGW,2,,,,,
Butylbenzene,298.15,5.33 >~ 10 ~,KHW,37,,,,,
o-Xylene,298.15,30540,GS,38,,,,,
o-Xylene,298.15,3.33 × 104,KGW,2,,,,,
o-Xylene,298.15,3.25 × 104,KHW,37,,,,,
o-Xylene,313.15,5859+84,GS,14,,,,,
m-Xylene,298.15,33214,GS,38,,,,,
m-Xylene,298.15,3.74 × 104,KGW,2,,,,,
m-Xylene,298.15,"3, 90 × 10 ~",KIIW,37,,,,,
p-Xylene,298.15,33257,GS,38,,,,,
p-Xylene,298.15,3.41 × 104,KGW,2,,,,,
p-Xylene,298.15,3.79 × 104,KHW,37,,,,,
p-Xylene,313.15,5634 -+68,GS,14,,,,,
Cumene,298.15,101540,GS,38,,,,,
Cumene,298.15,1.02 x l0 s,KGW,2,,,,,
Cumene,298.15,9. 91 × 104,KHW,37,,,,,
Mesitylene,298.15,118810,GS,38,,,,,
Mesitylene,298.15,1.30 × l0 s,KGW,2,,,,,
Mesitylene,298.15,1.28 x 10~,KHW,37,,,,,
Bromoform,293.15,3530-+260,STAT,41,,,,,
Bromoform,293.15,4340+510,RGC,66,,,,,
Bromoform,298.15,3380 b,STAT,41,,,,,
Bromoform,298.15,9220,GCR,28,,,,,
Bromoform,303.15,4068+480,RGC,66,,,,,
Bromoform,308.15,3080+425,STAT,41,,,,,
Bromoform,308.15,5820,GCR,28,,,,,
Bromoform,313.15,3800-+440,RGC,66,,,,,
Bromoform,323.15,4050+-220,STAT,41,,,,,
Bromoform,323.15,3330,GCR,28,,,,,
Chlorodibromomethaue a,293.15,1990-+ 250,RGC,66,,,,,
Chlorodibromomethaue a,303.15,1928+-240,RGC,66,,,,,
Chlorodibromomethaue a,313.15,1896-+240,RGC,66,,,,,
Bmmodichloromethane a,293.15,1025-+ 130,RGC,66,,,,,
