Solvent,Temp,Measured,Ref,,,,,
Methane,298.15,137.4,15,,,,,
Ethane,298.15,717.1,15,,,,,
Propane,298.15,4 . 2 3x103,5,,,,,
Butane,298.15,2. 1 9 x 1 0 4,5,,,,,
iso-Butane,298.15,1.96 x104,5,,,,,
iso-Butane,298.15,i. 87 x104,15,,,,,
Pentane a,298.15,9. 09 x10 ~,"8,12",,,,,
Pentane a,298.15,1.94× l0 s,5,,,,,
"2,2-Dimethyl propane",298.15,1.20 × l0 s,"8,12",,,,,
"2,2-Dimethyl propane",298.15,7.42/I0~,5,,,,,
"2,2-Dimethyl propane",298.15,7. 11 /. 104,15,,,,,
2-Methylbutane,298.15,8. 26 /104,"8,12",,,,,
2-Methylbutane,298.15,8.39x104,5,,,,,
Hexane a,298.15,5.04×l0 s,5,,,,,
Hexane a,298.15,3.4xl0 s,9,,,,,
Hexane a,298.15,4.35×IOs,"8,12",,,,,
Hexane a,298.15,3.89xlO s,15,,,,,
"2,2-Dimethylbutane",298.15,2.27xl0 s,"8,12",,,,,
"2,2-Dimethylbutane",298.15,2 . 6 0 ×10 s,5,,,,,
"2,3-Dimethyl butane",298.15,2. 27 × l0 s,"8,12",,,,,
"2,3-Dimethyl butane",298.15,2. 1 3 × 1 0 s,5,,,,,
2-Methyl pentane,298.15,3 . 4 8× 10 s,"8,12",,,,,
2-Methyl pentane,298.15,3 . 4 7xlO s,5,,,,,
3-Methylpentane,298.15,3 . 7 0× 10 s,"8,12",,,,,
3-Methylpentane,298.15,3.74/l0 s,5,,,,,
Heptane a,298.15,2 . 3 3~ 106,"8,12",,,,,
Heptane a,298.15,1.9 × 106,5,,,,,
2-Methyhexane,298.15,2. 19 x106,5,,,,,
3-Methylhexane,298.15,1. 12 x106,5,,,,,
"2,2-Dimethyl pentane",298.15,1.27x 106,"8,12",,,,,
"2,3-Dimethyl pentane",298.15,1.06 x106,"8,12",,,,,
"2,4-Dimethyl pentane",298.15,1.32 × 106,"8,12",,,,,
"2,4-Dimethyl pentane",298.15,1.37x106,5,,,,,
"2,4-Dimethyl pentane",298.15,1.01× 106,"9,12",,,,,
"3,3-Dimethyl pentane",298.15,9.43xl0 s,"8,12",,,,,
"3,3-Dimethyl pentane",298.15,9. 37 /10 s,5,,,,,
Octane,298.15,9. 08 Y 106,"9,12",,,,,
Octane,298.15,9 . 6 2× 106,5,,,,,
3-Methylheptane,298.15,8.01x106,5,,,,,
"2,2,4-Trimethyl pentane",298.15,2.86x 106,"9,12",,,,,
"2,2,4-Trimethyl pentane",298.15,2.60 × 106,5,,,,,
"2,3,4-Trimethylpentane",298.15,2. 76 × 106,"9,12",,,,,
"2,3,4-Trimethylpentane",298.15,4 . 6 7x 106,15,,,,,
"2,2,5-Trimethyl pentane",298.15,6 . 2 0× 106,5,,,,,
Nonane,298.15,5.85 × 107,"11,12",,,,,
Nonane,298.15,3.24/ l0 T,5,,,,,
4-Methyloctane,298.15,6. 21 x 10 ~,"11,12",,,,,
Decane,298. 15,1.52× 10 e,"11,12",,,,,
Decane,298.15,1.58 × 10e,5,,,,,
Decane,298.15,3 . 4 3/ 10 ~,15,,,,,
Dodecane,298.15,2. 7 7 8 x109,15,,,,,
Dodecane,298.15,2.558/10g,15',,,,,
,,,,,,,,
,Cyclic A l k a n e s,,,,,,,
Cyclopentane,298.I5,24940,9,,,,,
Cyclohexane,298.15,"8.13 × 10""",15,,,,,
