Solvent,Temp,Measured,Method,Ref.
Pentane,298.15,2273,IS,1
Hexane,298.15,1650,IS,1
Heptane,298.15,1422,IS,1
Octane,298.15,1235,IS,1
,,,,0
,Aromatic Hydrocarbons,,,0
Benzene,293.15,245.4,IP,13
Benzene,308.15,170,IP,13
Benzene,323.15,135.5,IP,13
,,,,
,Halogenated Hydrocarbons,,,
Chloroform,293.15,200,IP,7
Chloroform,308.15,120,IP,7
Chloroform,323.15,88,IP,
"1,1,2,2-Tetrabromoethane",298.15,426,IP,;2!
"1,1,2,2-Tetrabromoethane",308.15,263,IP,22
"1,1,2,2-Tetrabromoethane",323.15,233,IP,22
"1,1,2,2-Tetraehloroethane",293.15,89,IP,7
"1,1,2,2-Tetraehloroethane",308.15,66,IP,7
"1,1,2,2-Tetraehloroethane",323.15,46,IP,7
Tetrachloroethene,298.15,35.6,IS,21
"1,1,1-Trichloroethane",293.15,417,IP,7
"1,1,1-Trichloroethane",308.15,313,IP,7
"1,1,1-Trichloroethane",323.15,227,IP,7
Trichloroethene,293.15,400.5,IP,13
Trichloroethene,293.15,400,IP,22
Trichloroethene,308.15,354.2,IP,13
Trichloroethene,323.15,282.1,11',13
Tribromomethane,298.15,455,IP,22
Tribromomethane,308.15,340,IP,22
Tribromomethane,323.15,256,IP,22
"1,1,2-Trichloroethane",293.15,128,IF,7
"1,1,2-Trichloroethane",308.15,85,IP,7
"1,1,2-Trichloroethane",323.15,59,IP,7
"1,1-Dichloroethene",285.15,890.3,IP,13
"1,1-Dichloroethene",293.15,461.4,IP,13
"trans- 1,2-Dichloroethene",285.15,385.6,IF,13
"trans- 1,2-Dichloroethene",293.15,215.5,IP,13
"trans- 1,2-Dichloroethene",308.15,185.3,IP,13
"cis- 1,2-Dichloroethene",298.15,35,IS,21
"1,2-Dibromoethane",298.15,317,IP,22
"1,2-Dibromoethane",308.15,222,IP,22
"1,2-Dibromoethane",323.15,171,lP,22
"l,l-Dichloroethane",293.15,172,IP,7
"l,l-Dichloroethane",308.15,127,IP,7
"l,l-Dichloroethane",323.15,96,IP,7
"1,2-Dichloroethane",293.15,122,IP,7
"1,2-Dichloroethane",308.15,76,IP,7
"1,2-Dichloroethane",323.15,55,IP,7
"1,2-Dibromopropane",298.15,173,IS,22
Chlorobenzene,293.15,329.7,IP,13
Chlorobenzene,293.15,329,IP,21
Chlorobenzene,308.15,243.2,IP,13
Chlorobenzene,323.15,201.3,IP,13
"1,3-Dioxolan-2-one,",324.95,9.58,GCR,2
-4-Chloromethyl,329.95,9.12,GCR,2
,,,,
,Alcohols,,,
Methanol,307.75,1.6 ± 0.2,EBUL,8
Methanol,317.85,1.8 ± 0.2,EBUL,8
Methanol,323.15,1.5,EX'T,10
Methanol,327.85,1.7 _+ 0.25,EBUL,8
Methanol,337.05,"1, 7 6 ± 0 . 0 5",EBUL,8
Methanol,337.65,1.44,EBUL,23
Methanol,337.65,1.58,EBUL,35
Methanol,337.75,1.77,EXT,16
Methanol,373.15,1.39,EXT,18
Sthanol,323.15,2.35,EXT,20
Sthanol,323.15,2.49,EXT,36
Sthanol,351.45,2.58,EBUL,23
Sthanol,351.45,2.52,EBUL,35
1-Fropanol,370.35,3.39,EBUL,35
2-Propanol,288.15,5 . 7 2 + 0 .11,STAT,37
2-Propanol,318.35,3.5 ± 0. 4,EBUL,8
2-Propanol,328.15,3.39-+0.7,EBUL,8
2-Propanol,337.95,3 . 0 ± 0 .16,EBUL,8
2-Propanol,355.35,3. 10,EBUL,35
2-Propanol,355.55,3.04,EBUL,29
2-Propanol,363.15,3.09,EBUL,29
2-Propanol,373.15,3.01,EBUL,29
2-Propen-l-ol,371.15,2.72,EXT,17
1-Butanol,308.15,5.41,EBUL,39
1-Butanol,323.23,5.2,STAT,15
1-Butanol,333.15,5.31,EXT,28
1-Butanol,343.15,3.27,EBUL,24
1-Butanol,353.15,3.12,EBUL,24
1-Butanol,363.15,3.07,EBUL,24
1-Butanol,363.15,4,EBUL,32
1-Butanol,372.15,2.97,EBUL,24
1-Butanol,373.15,4,EBUL,32
1-Butanol,376.15,3.98,EXT,30
1-Butanol,378.15,3.71,EXT,31
1-Butanol,383.15,2.9,EBUL,24
2-Butanol,323.18,4.6,STAT,15
2-Butanol,353.15,3.16,EXT,28
Iso-butylAlcohol,323.15,5.3,STAT,15
Iso-butylAlcohol,379.15,3.94,EXT,28
Terl-butylAlcohol,323.13,4.9,STAT,15
2-Pentanol,363.15,3.8+0.2,EBUL b,38
2-Butoxyethanol,278.15,2.77,EXT,26
2-Butoxyethanol,298.15,2.83,EXT,26
2-Butoxyethanol,318.15,2.83,EXT,26
2-Butoxyethanol,338.15,2.86,EXT,26
2-Butoxyethanol,358.15,2.72,EXT,26
2-Butoxyethanol,383.15,2.72,EXT,26
2-Butoxyethanol,383.15,2.61,EXT,28
Glycerol,330.85,0.648,GC,19
Glycerol,333.15,0.78,GC,9
Glycerol,338.15,0.805,GC,9
Glycerol,339.75,0.667,GC,19
Glycerol,343.15,0.836,GC,9
Glycerol,348.15,0.866,"(;(""",9
Glycerol,349.95,0.676,GC,19
Glycerol,353.15,0.899,"G(""",9
Glycerol,358.15,0.931,GC,9
Glycerol,359.25,0.685,"G(""",19
Glycerol,363.15,0.966,GC,9
Glycerol,364.05,0.696,GC,19
Glycerol,373.15,1.06,GC,9
Glycerol,378.15,"1,10",GC,9
Glycerol,383.15,1.14,GC,9
Glycerol,393.15,1.28,GC,9
Triethylene Glycol k'q'EG),322.55,0.630,GC,19
Triethylene Glycol k'q'EG),323.15,0.668,GC,9
Triethylene Glycol k'q'EG),328.15,0.672,GC,9
Triethylene Glycol k'q'EG),"331,45","0,66",GC,19
Triethylene Glycol k'q'EG),333.15,0.685,GC,9
Triethylene Glycol k'q'EG),338.15,0.698,GC,9
Triethylene Glycol k'q'EG),340.75,"0,68",GC,19
Triethylene Glycol k'q'EG),343.15,0.714,GC,9
Triethylene Glycol k'q'EG),348.15,0.728,GC,9
Triethylene Glycol k'q'EG),348.95,0.716,GC,19
Triethylene Glycol k'q'EG),353.15,0.735,GC,9
Triethylene Glycol k'q'EG),358.15,0.748,GC,9
Triethylene Glycol k'q'EG),358.75,0.752,GC,19
Triethylene Glycol k'q'EG),363.15,0.758,GC,9
Triethylene Glycol k'q'EG),368.15,0.774,GC,9
Triethylene Glycol k'q'EG),373.15,0.779,GC,9
Triethylene Glycol k'q'EG),"378,15",0.807,GC,9
Triethylene Glycol k'q'EG),383.15,0.828,GC,9
Polyethylene glycol (PEG),,,,
PEG 400,333.15,0.492,GC,9
PEG 400,343.15,0.545,GC,9
PEG 400,348.15,0.572,GC,9
PEG 400,353.15,0.596,GC,9
PEG 400,358.15,0.629,GC,9
PEG 400,363.15,0.64,GC,9
PEG 400,368.15,0.654,GC,9
PEG 400,373.15,0.668,GC,9
PEG 400,378.15,0.677,GC,9
PEG 400,383.15,0.687,GC,9
PEG 400,403.15,0.725,GC,9
PEG 400,393.15,0.763,GC,9
PEG 600,328.15,0.334,GC,9
PEG 600,333.15,"0.,343",GC,9
PEG 600,343.15,0.395,GC,9
PEG 600,.348.15,0.428,GC,9
PEG 600,353.15,0.458,GC,9
PEG 600,358.15,0.496,GC,9
PEG 600,363.15,0.535,GC,9
PEG 600,368.15,0.569,GC,9
PEG 600,373.15,0.588,GC,9
PEG 600,378.15,0.608,GC,9
PEG 600,383.15,0.622,GC,9
PEG 600,393.15,0.648,GC,9
PEG 600,403.15,0.686,GC,9
PEG 600,413.15,0.710,GC,9
PEG 1000,323.15,0.253,GC,9
PEG 1000,333.15,0.285,GC,9
PEG 1000,338.15,0.309,GC,9
PEG 1000,343.15,0.824,GC,9
PEG 1000,348.15,0.333,GC,9
PEG 1000,353.15,0.350,GC,9
PEG 1000,358.15,0.363,GC,9
PEG 1000,363.15,0.375,GC,9
PEG 1000,368.15,0.391,GC,9
PEG 1000,373.15,0.422,"G(""",9
PEG 1000,383.15,0.486,GC,9
PEG 1000,393.15,0.537,"G(""",9
PEG 1000,403.15,0.593,GC,9
PEG 1000,413.15,0.649,GC,9
PEG 1500,323.15,0.176,GC,9
PEG 1500,333.15,0.197,"G(""",9
PEG 1500,338.15,0.206,GC,9
PEG 1500,.343.15,0.222,GC,9
PEG 1500,.348.15,0.238,GC,9
PEG 1500,353.15,0.249,GC,9
PEG 1500,358.15,0.271,GC,9
PEG 1500,363.15,0.293,GC,9
PEG 1500,368.15,0.325,GC,9
PEG 1500,373.15,"0..7,48",GC,9
PEG 1500,378.15,0.369,GC,9
PEG 1500,383.15,0.390,GC,9
PEG 1500,393.15,0.429,GC,9
PEG 1500,403.15,0.459,GC,9
PEG 1500,413.15,0.495,GC,9
?EG 7500,353.15,0.043,GC,9
?EG 7500,358.15,0.048,GC,9
?EG 7500,363.15,0.052,GC,9
?EG 7500,368.15,0.059,GC,9
?EG 7500,373.15,0.065,GC,9
?EG 7500,378.15,0.073,GC,9
?EG 7500,383.15,0.081,GC,9
?EG 7500,393.15,0.102,GC,9
?EG 7500,403.15,0.124,GC,9
?EG 7500,413.15,0.155,GC,9
,Ketories,,,
Acetone,307.85,6.02__+0. 15,EBUL,8
Acetone,318.05,5.68_+0. 1,EBUL,8
Acetone,328.45,5. 30_+0. 02,EBUL,8
Acetone,329.25,4.06,EBUL,23
Acetone,329.25,4.92,EBUL,35
Acetone,373.15,3.60,EXT,18
2-Butanone,323.15,7.3,EBUL,32
2-Butanone,333.15,7.2,EBUL,32
2-Butanone,343.15,6.4-+0.2,EBULb,38
2-Butanone,343.15,7.0,EBUL,32
2-Butanone,347.15,7.32,EXT,28
2-Butanone,353.15,6.9,EBUL,32
"2,4-Pentanedione",354.15,4.60,EBUL,24
"2,4-Pentanedione",363.15,3.36,EBUL,24
"2,4-Pentanedione",373.15,1.89,EBUL,24
Cyclohexanone,363.15,9.03,EXT,28
,,,,
,Acids,,,
Acetic Acid,352.39,2.32,EBUL,33
Acetic Acid,371.27,2.17,EBUL,3:}
Acetic Acid,383.60,2.13,EBUL,33
Acetic Acid,391.22,2.10,EBUI.,33
,,,,
,Aldehydes,,,
Acrolein,365.15,13.2,EXT,28
Furfural,339.15,7.61,EXT,28
,,,,
,Ethers,,,
retrahydrofuran,308.35,11.1 + 0.6,EBUL,8
retrahydrofuran,317.65,10.4 + 0. I,EBU1.,8
retrahydrofuran,328.05,9.8 ± 0.:3,EBUL,8
retrahydrofuran,338.05,9.4 ± 0.1,EBUL,8
retrahydrofuran,".7,43.15",7.77,EXT,28
Tetraethylene Glycol-Dimethyl Ether,303.15,1.848,GCR,27
Tetraethylene Glycol-Dimethyl Ether,323.15,1.686,GCR,27
Tetraethylene Glycol-Dimethyl Ether,343.15,1.562,GCR,27
Tripropylene Glycol-Dimethyl Ether,303.15,4.192,GCR,27
Tripropylene Glycol-Dimethyl Ether,323.15,3.857,GCR,27
Tripropylene Glycol-Dimethyl Ether,343.15,3.031,GCR,27
Triethylene Glycol-Dibutyl Ether,303.15,3.964,GCR,27
Triethylene Glycol-Dibutyl Ether,323.15,3.588,GCR,27
Triethylene Glycol-Dibutyl Ether,343.15,3.160,GCR,27
Diethylene Glycol-Dibutyl Ether,303.15,5.428,GCR,27
Diethylene Glycol-Dibutyl Ether,323.15,4.847,GCR,27
Diethylene Glycol-Dibutyl Ether,343.15,4.303,GCR,27
Tripropylene Glycol-Dibutyl Ether,303.15,6.705,GCR,27
Tripropylene Glycol-Dibutyl Ether,323.15,"5,552",GCR,27
Tripropylene Glycol-Dibutyl Ether,343.15,4.455,GCR,27
,Esters,,,
Methyl Acetate,323.15,9. 21,EXT,28
Ethyl Acetate,288.15,18. 1 ~ 0. 17,STAT,37
Ethyl Acetate,309.45,12.2+-0.1,EBUL,8
Ethyl Acetate,313.15,11.88,EBUL,34
Ethyl Acetate,318.55,10. 8 + 0 .9,EBUL,8
Ethyl Acetate,323.15,I0. 7,EBUL,8
Ethyl Acetate,328.15,8.58,EXT,28
Ethyl Acetate,328.45,10. 1 + 0. 1,EBUL,8
Ethyl Acetate,333.15,I0.4,EBUL,34
Ethyl Acetate,338.35,9.7 --- 0. 2,EBUL,8
Ethyl Acetate,349.45,8. 98--- 0.05,EBUL,8
Ethyl Acetate,353.15,9.23,EBUL,",34"
Ethyl Acetate,373.15,8.32,EBUL,34
Butyl Acetate,317.80,11.29,EBUL,39
"Phosphoric Acid,Butyl Ester",298.15,0.16,"G(""",3
"Phosphoric Acid,Butyl Ester",318.15,0.20,GC,3
"Phosphoric Acid,Butyl Ester",333.15,0.22,GC,3
"Phosphoric Acid,Butyl Ester",353.15,0.26,GC,3
,,,,
"Phosphoric Acid, Dibutyl Ester",298.15,1.31,GC,3
"Phosphoric Acid, Dibutyl Ester",318.15,1.32,"G(""",3
"Phosphoric Acid, Dibutyl Ester",333.15,1.38,GC,3
"Phosphoric Acid, Dibutyl Ester",353.15,1.42,GC,3
"Phosphoric Acid, Tributyl Ester (TBP)",298.15,"2.,34",GC,6
"Phosphoric Acid, Tributyl Ester (TBP)",318.15,2.28,GC,6
"Phosphoric Acid, Tributyl Ester (TBP)",323.65,1.80,GCR,2
"Phosphoric Acid, Tributyl Ester (TBP)",329.95,1.90,GCR,6
"Phosphoric Acid, Tributyl Ester (TBP)",333.15,2.30,GC,6
"Phosphoric Acid, Tributyl Ester (TBP)",363.15,2.34,GC,6
"Phosphoric Acid, Tributyl Ester (TBP)",373.15,2.40,"G(""",6
"Phosphoric Acid, Methyl -Diphenyl Ester",298.15,4.77,GC,4
"Phosphoric Acid, Methyl -Diphenyl Ester",318.15,4.39,GC,4
"Phosphoric Acid, Methyl -Diphenyl Ester",333.15,4.20,GC,4
"Phosphoric Acid, Methyl -Diphenyl Ester",353.15,4.04,GC,4
"Phosphoric Acid, Tri-(2-Butoxyethyl) Ester",298.15,1.31,GC,5
"Phosphoric Acid, Tri-(2-Butoxyethyl) Ester",318.15,1.37,GC,5
"Phosphoric Acid, Tri-(2-Butoxyethyl) Ester",333.15,1.43,GC,5
"Phthalic Acid, Dinonyl Ester",359.15,9.7,GC,12
,Compounds with Nitrogen,,,
Nitromethane,314.25,13.3 + 0.2,EBUL,8
Nitromethane,322.45,11.8 + 0.5,EBUL,8
Nitromethane,323.15,11.8,EBUL,8
Nitromethane,333.05,11.8 + 0.8,EBUL,8
Nitromethane,.343.35,8.6 + 0.4,EBUL,8
Nitromethane,353.65,8. 7 ± 0. 8,EBUL,8
Acetonitrile,364.15,4.18,EXT,25
Acrylonitrile,352.15,7.39,EXT,28
Diisopropylamine,293.15,33.24,EXT,11
3-Methylpyridine,343.15,3.00,EXT,"2,8"
Dimethylformamide,353.65,0. 96 + 0 .12,EBUL,8
Dimethylformamide,362.95,0. 9 9 + 0 .05,EBUL,8
Dimethylformamide,367.65,1.02-4- 0. 03,EBUL,8
Dimethylformamide,382.95,1 . 3 3 e 0. 07,EBUL,8
Dimethylformamide,397.75,1 . 2 2 ± 0 .15,EBUL,8
Piperidine,343.15,3.00,EBUL,24
Piperidine,363.15,3.23,EBUL,24
Piperidine,373.15,3.61,EBUL,24
Pyridine,343.15,2.87,EBUL,24
Pyridine,363.15,2.80,EBUL,24
Pyridine,373.15,2.80,EBUL,24
Aniline,"323,15","2,55",EXT,14
Aniline,"373,15",5.81,EXT,28
